,f_name,img_path,xmin,ymin,xmax,ymax,label
0,100_46341.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\100_46341.jpg,909,271,1738,1220,Early_Blight
1,1058_0.jpeg_itok=OQkdtxgv.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\1058_0.jpeg_itok=OQkdtxgv.jpg,4,185,797,600,Early_Blight
2,1058_0.jpeg_itok=OQkdtxgv.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\1058_0.jpeg_itok=OQkdtxgv.jpg,200,15,512,120,Early_Blight
3,126689-004-D622CD2F.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\126689-004-D622CD2F.jpg,10,14,541,376,Early_Blight
4,12July_mwnews_3-C.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\12July_mwnews_3-C.jpg,61,15,145,98,Early_Blight
5,12July_mwnews_3-C.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\12July_mwnews_3-C.jpg,32,22,87,105,Early_Blight
6,12July_mwnews_3-C.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\12July_mwnews_3-C.jpg,89,104,134,181,Early_Blight
7,12July_mwnews_3-C.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\12July_mwnews_3-C.jpg,137,83,301,187,Early_Blight
8,12July_mwnews_3-C.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\12July_mwnews_3-C.jpg,249,23,330,79,Early_Blight
9,1576389-early%20blight%20symptoms.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\1576389-early%20blight%20symptoms.jpg,46,29,382,247,Early_Blight
10,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,124,105,168,196,Early_Blight
11,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,164,13,215,47,Early_Blight
