               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1166,             0.03485,            0.039763,           0.0016602,            0.033333,          0.00088572,          0.00026372,              0.1136,             0.02124,             0.03944,              0.0013,              0.0013,              0.0883
                   1,             0.11047,            0.038329,            0.039124,           0.0024568,            0.016667,           0.0009066,          0.00024696,             0.10451,            0.023485,             0.03904,           0.0026866,           0.0026866,            0.075687
                   2,             0.10443,            0.042476,            0.037333,           0.0031187,            0.016667,           0.0017621,          0.00032243,            0.095285,             0.02526,            0.036843,           0.0040594,           0.0040594,            0.063059
                   3,            0.098282,            0.044021,            0.035524,           0.0064917,             0.19792,            0.003991,           0.0011696,            0.091583,            0.025296,            0.035349,           0.0054183,           0.0054183,            0.050418
                   4,            0.095261,            0.047137,             0.03529,             0.19422,            0.016667,            0.018883,           0.0022251,            0.093441,            0.024213,            0.036587,           0.0067634,           0.0067634,            0.037763
                   5,            0.093327,            0.045294,            0.032684,            0.018072,             0.11667,           0.0055652,           0.0015297,            0.091631,            0.024128,            0.035136,           0.0080946,           0.0080946,            0.025095
                   6,            0.089792,             0.04919,            0.032796,            0.021288,               0.225,            0.009073,            0.002477,            0.085941,            0.025526,            0.032015,           0.0094119,           0.0094119,            0.012412
                   7,            0.090869,            0.046255,            0.031146,            0.024132,             0.11667,            0.011731,           0.0033416,             0.08814,            0.024891,            0.029268,           0.0096535,           0.0096535,           0.0096535
                   8,            0.088854,            0.048836,             0.02925,             0.45864,            0.083187,             0.03765,              0.0148,             0.08914,            0.024065,            0.031417,           0.0096535,           0.0096535,           0.0096535
                   9,            0.087646,            0.049847,            0.027719,             0.38111,              0.1104,            0.022865,           0.0069249,            0.084831,            0.025316,             0.03064,            0.009604,            0.009604,            0.009604
                  10,            0.085082,            0.048915,            0.026058,            0.040835,             0.11458,            0.017304,           0.0036673,            0.084372,            0.025802,            0.026522,           0.0095545,           0.0095545,           0.0095545
                  11,            0.086232,            0.048612,            0.025256,            0.066993,             0.22708,            0.018363,           0.0059328,            0.086534,            0.026916,            0.025512,            0.009505,            0.009505,            0.009505
                  12,            0.086115,            0.048151,            0.024327,             0.04459,              0.2125,            0.012826,           0.0054757,            0.084417,            0.026105,            0.025953,           0.0094555,           0.0094555,           0.0094555
                  13,            0.085711,             0.04704,            0.022197,             0.03214,             0.29792,             0.01898,           0.0038712,            0.081903,            0.025878,            0.019717,            0.009406,            0.009406,            0.009406
                  14,            0.082205,            0.048572,            0.020992,            0.040531,                 0.2,            0.017222,            0.003064,            0.084036,            0.025562,            0.029337,           0.0093565,           0.0093565,           0.0093565
                  15,            0.083164,            0.046445,             0.02198,            0.042214,             0.34375,            0.033366,           0.0057504,            0.082044,            0.025854,            0.022216,            0.009307,            0.009307,            0.009307
                  16,            0.082459,            0.047333,            0.019671,            0.029121,              0.1875,            0.016505,           0.0037292,            0.084658,            0.024299,            0.029285,           0.0092575,           0.0092575,           0.0092575
                  17,            0.081301,            0.049427,            0.018968,             0.04351,             0.30208,            0.024947,           0.0071475,            0.082504,            0.024953,            0.032319,            0.009208,            0.009208,            0.009208
                  18,            0.081876,            0.046673,             0.01766,            0.046469,             0.30833,            0.058363,             0.01113,            0.087527,             0.02257,            0.028894,           0.0091585,           0.0091585,           0.0091585
                  19,            0.081918,            0.048702,            0.016705,            0.094816,             0.24167,            0.052366,            0.014273,            0.081516,             0.02427,            0.024023,            0.009109,            0.009109,            0.009109
                  20,            0.078959,            0.045344,            0.015234,              0.1888,             0.12917,            0.091378,               0.022,            0.077869,            0.024452,            0.023075,           0.0090595,           0.0090595,           0.0090595
                  21,            0.077541,             0.04908,            0.014464,            0.073553,             0.21458,            0.052054,            0.013594,            0.078558,            0.024476,            0.025257,             0.00901,             0.00901,             0.00901
                  22,            0.079753,            0.045248,             0.01209,            0.060224,             0.14792,            0.040782,            0.013225,            0.080701,            0.024486,            0.024867,           0.0089605,           0.0089605,           0.0089605
                  23,            0.077998,             0.04799,            0.012583,             0.02617,             0.27292,            0.017333,           0.0034586,            0.082357,            0.024048,            0.023916,            0.008911,            0.008911,            0.008911
                  24,            0.076238,            0.044318,            0.012647,            0.061075,             0.29792,            0.039232,           0.0078677,            0.079909,             0.02465,            0.025447,           0.0088615,           0.0088615,           0.0088615
                  25,            0.077285,            0.044277,            0.012546,             0.15324,             0.20625,            0.098603,            0.019186,            0.077294,            0.025926,            0.030969,            0.008812,            0.008812,            0.008812
                  26,             0.07336,            0.046743,            0.011371,            0.073252,             0.25749,            0.059039,            0.020388,            0.079433,            0.028711,            0.032814,           0.0087625,           0.0087625,           0.0087625
                  27,            0.075119,            0.046784,            0.011848,             0.26721,               0.125,             0.10603,            0.041108,            0.077119,            0.026221,            0.036662,            0.008713,            0.008713,            0.008713
                  28,            0.074144,            0.045097,            0.011767,            0.063094,               0.275,             0.04666,            0.020995,             0.08249,            0.024344,            0.041374,           0.0086635,           0.0086635,           0.0086635
                  29,            0.073106,            0.046309,            0.013089,              0.3045,              0.1375,             0.10856,            0.038248,             0.07476,             0.02424,            0.027654,            0.008614,            0.008614,            0.008614
                  30,            0.075161,            0.044303,            0.010946,             0.13627,             0.17424,            0.067788,            0.020959,            0.079783,            0.023206,            0.043671,           0.0085645,           0.0085645,           0.0085645
                  31,            0.075558,            0.043537,           0.0090297,             0.10204,             0.30417,            0.061575,             0.01291,            0.073087,            0.025553,             0.04076,            0.008515,            0.008515,            0.008515
                  32,            0.073266,            0.047547,             0.00906,             0.15356,             0.12696,            0.066455,            0.017134,            0.074327,            0.025173,            0.036648,           0.0084655,           0.0084655,           0.0084655
                  33,            0.071845,             0.04606,            0.009695,             0.11872,             0.11667,            0.063351,            0.014367,            0.072315,            0.026584,             0.04092,            0.008416,            0.008416,            0.008416
                  34,             0.07082,            0.046875,           0.0092525,             0.12843,             0.19792,            0.061518,            0.030767,            0.078811,            0.025654,            0.040901,           0.0083665,           0.0083665,           0.0083665
                  35,            0.072939,            0.044649,           0.0083454,             0.49467,             0.12083,             0.11362,             0.04801,            0.079695,            0.025841,            0.028399,            0.008317,            0.008317,            0.008317
                  36,            0.073359,            0.043845,           0.0091623,             0.12304,             0.19583,            0.086878,            0.038726,            0.074333,            0.025496,            0.025971,           0.0082675,           0.0082675,           0.0082675
                  37,            0.068166,            0.045264,           0.0084245,             0.14875,               0.125,            0.057726,             0.02101,            0.073594,            0.025792,            0.025792,            0.008218,            0.008218,            0.008218
                  38,            0.069273,            0.043243,           0.0084191,             0.11738,             0.25598,            0.080886,            0.029475,            0.073133,            0.026692,            0.025668,           0.0081685,           0.0081685,           0.0081685
